OKR Number,Other Names,Collection / Location,City / State,Country,Collection Number,Comments,KH Issue Date
KH0597,QU009,Dallas Museum of Art,"Dallas, TX",USA,B366/T41299.30,,2/12/24
KH0598,QU010,Dallas Museum of Art,"Dallas, TX",USA,B374/T41299.31,,2/12/24
KH0599,QU011,Dallas Museum of Art,"Dallas, TX",USA,B375/T41299.32,,2/12/24
KH0600,QU012,Dallas Museum of Art,"Dallas, TX",USA,B391/T41299.20,QU012 was not originally entered into the OKR. It is re-introduced here.,2/12/24
KH0601,QU013,Dallas Museum of Art,"Dallas, TX",USA,B369 / T41299.33.A-B,,2/12/24
KH0602,QU014,Dallas Museum of Art,"Dallas, TX",USA,B399/T41299.34,,2/12/24
KH0603,QU015,Dallas Museum of Art,"Dallas, TX",USA,B373/T41299.18,,2/12/24
KH0604,QU016,Dallas Museum of Art,"Dallas, TX",USA,B383 & B383A / T41299.35.A-B,,2/12/24
KH0605,QU017,Dallas Museum of Art,"Dallas, TX",USA,B395/T41299.36,,2/12/24
KH0606,QU018,Dallas Museum of Art,"Dallas, TX",USA,B382/T41299.37,,2/12/24
KH0607,QU019,Dallas Museum of Art,"Dallas, TX",USA,B371/T41299.38,,2/12/24
KH0608,JC001,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,PAI-001-2016,,2/12/24
KH0609,JC002,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,PAI-003-2016,,2/12/24
KH0610,JC003,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,PAI-003-2016,,2/12/24
KH0611,JC004,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,PAI-005-2016,,2/12/24
KH0612,JC005,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,PAI-005-2016,,2/12/24
KH0613,JC006,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,PAI-002-2016,,2/12/24
KH0614,JC007,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,PAI-004-2016,,2/12/24
KH0615,JC008,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,PAI-1156-2016,,2/12/24
KH0616,JC009,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,PAI-007-2016,,2/12/24
KH0617,JC010,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,PAI-009-2016,,2/12/24
KH0618,JC011,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,PAI-008-2016,,2/12/24
KH0619,JC012,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,PAI-008-2016,,2/12/24
KH0620,JC013,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,PAI-008-2016,,2/12/24
KH0621,JC014,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,PAI-1444-2016,,2/12/24
KH0622,JC015,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,PAI-1441-2016,,2/12/24
KH0623,JC016,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,PAI-1459-2016,,2/12/24
KH0624,JC017,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,PAI-1456-2016,,2/12/24
KH0625,JC018,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,PAI-1453-2016,,2/12/24
KH0626,JC019,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,PAI-1455-2016,,2/12/24
KH0627,JC020,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,PAI-1454-2016,,2/12/24
KH0628,JC021,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,PAI-1440-2016,,2/12/24
KH0629,JC022,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,PAI-1443-2016,,2/12/24
KH0630,JC023,Complejo arqueológico Inkawasi,"Cañete, Lima",Peru,PAI-1436-2016,,2/12/24
KH0631,SH001,University of St Andrews,St Andrews,Scotland,SA004,,12/19/25
KH0632,SH002,University of St Andrews,St Andrews,Scotland,SA005,,12/19/25
KH0633,,The British Museum,London,England,"Am1937,0213.84",,12/19/25
KH0634,,The British Museum,London,England,"Am1937,0213.84",,12/19/25
KH0635,,The British Museum,London,England,"Am1937,0213.84",,12/19/25
KH0636,,University of St Andrews,St Andrews,Scotland,SA001,,12/19/25
KH0637,,University of St Andrews,St Andrews,Scotland,SA002,,12/19/25
KH0638,,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,RT-16905,,12/19/25
KH0639,,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,RT-16905,,12/19/25
KH0640,,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,RT-16905,,12/19/25
KH0641,,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,RT-16905,,12/19/25
KH0642,,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,RT-16905,,12/19/25
KH0643,,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,RT-16905,,12/19/25
KH0644,,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,RT-16905,,12/19/25
KH0645,,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,RT-16905,,12/19/25
KH0646,,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,RT-16905,,12/19/25
KH0647,,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,RT-16905,,12/19/25
KH0648,,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,RT-16905,,12/19/25
KH0649,,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,RT-16905,,12/19/25
KH0650,,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,RT-16905,,12/19/25
KH0651,,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,RT-16905,,12/19/25
KH0652,,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,RT-16905,,12/19/25
KH0653,JC024,Sitio arqueológico Huacones-Vilcahuasi,"Cañete, Lima",Peru,789,,12/19/25
KH0654,JC025,Sitio arqueológico Huacones-Vilcahuasi,"Cañete, Lima",Peru,788,,12/19/25
KH0655,JC026,Sitio arqueológico Huacones-Vilcahuasi,"Cañete, Lima",Peru,792,,12/19/25
KH0656,JC027,Sitio arqueológico Huacones-Vilcahuasi,"Cañete, Lima",Peru,785,,12/19/25
KH0657,JC028,Sitio arqueológico Huacones-Vilcahuasi,"Cañete, Lima",Peru,787,,12/19/25
KH0658,JC029,Sitio arqueológico Huacones-Vilcahuasi,"Cañete, Lima",Peru,791,,12/19/25
KH0659,JC030,Sitio arqueológico Huacones-Vilcahuasi,"Cañete, Lima",Peru,783,,12/19/25
KH0660,JC031,Sitio arqueológico Huacones-Vilcahuasi,"Cañete, Lima",Peru,790,,12/19/25
KH0661,JC032,Sitio arqueológico Huacones-Vilcahuasi,"Cañete, Lima",Peru,786,,12/19/25
KH0662,JC033,Sitio arqueológico Huacones-Vilcahuasi,"Cañete, Lima",Peru,784,,12/19/25
KH0663,JC034,Sitio arqueológico Huacones-Vilcahuasi,"Cañete, Lima",Peru,782,,12/19/25
KH0664,MM018,Museo de América,Madrid,Spain,14809,,12/19/25
KH0665,BA001,Maiman Collection (Deaccessioned),Tel Aviv,Israel,936,,12/19/25
KH0666,QU020,Beloit College,"Beloit, WI ",USA,8896,,12/19/25
KH0667,QU021,Beloit College,"Beloit, WI ",USA,7260,,12/19/25
KH0668,QU022,Beloit College,"Beloit, WI ",USA,1194.04,,12/19/25
KH0669,QU023,"Michael C. Carlos Museum, Emory University","Atlanta, GA",USA,2002.1.130,,12/19/25
KH0670,QU024,"Michael C. Carlos Museum, Emory University","Atlanta, GA",USA,2002.1.118,,12/19/25
KH0671,QU025,"Michael C. Carlos Museum, Emory University","Atlanta, GA",USA,2002.1.40,,12/19/25
KH0672,"AN001, MM006",Museum für Völkerkunde,Hamburg,Germany,61.54:2 dop 1,,12/19/25
KH0673,"AN002, MM007",Museum für Völkerkunde,Hamburg,Germany,61.54:2 dop 2,,12/19/25
KH0674,UR297,Dumbarton Oaks,"Washington, DC",USA,PC.WBC.2016.072,,12/19/25
KH0675,UR298,Dumbarton Oaks,"Washington, DC",USA,PC.WBC.2016.071,,12/19/25
KH0676,JS001,Brooklyn Museum,"Brooklyn, NY",USA,80.1012 aka 2708,,12/19/25
KH0677,MM001,Landesmuseum Hannover,Hannover,Germany,Grü-209,,12/19/25
KH0678,MM002,Lippisches Landesmuseum,Detmold,Germany,Unknown,,12/19/25
KH0679,MM003,Lippisches Landesmuseum,Detmold,Germany,Unknown,,12/19/25
KH0680,MM004,Lippisches Landesmuseum,Detmold,Germany,Unknown,,12/19/25
KH0681,MM005,"Museum am Rothenbaum, Kulturen und Kunste der Welt (MARKK)",Hamburg,Germany,xx am 80 (provisional number),,12/19/25
KH0682,MM008,Museum der Kulturen,Basel,Switzerland,IVc.366.03,,12/19/25
KH0683,MM009,Museum der Kulturen,Basel,Switzerland,IVc.366.03,,12/19/25
KH0684,MM010,Museum der Kulturen,Basel,Switzerland,IVc.366.03,,12/19/25
KH0685,MM011,Museum der Kulturen,Basel,Switzerland,IVc.366.03,,12/19/25
KH0686,MM012,Museum der Kulturen,Basel,Switzerland,IVc.366.03,,12/19/25
KH0687,MM013,Museum der Kulturen,Basel,Switzerland,IVc.366.03,,12/19/25
KH0688,MM014,Museum der Kulturen,Basel,Switzerland,IVc.366.03,,12/19/25
KH0689,MM015,Museum der Kulturen,Basel,Switzerland,IVc.366.03,,12/19/25
KH0690,MM016,Museum der Kulturen,Basel,Switzerland,IVc.366.03,,12/19/25
KH0691,MM017,Museum der Kulturen,Basel,Switzerland,IVc.366.03,,12/19/25
KH0692,MM019,Linden Museum,Stuttgart,Germany,M32902,,12/19/25
KH0693,MM020,Linden Museum,Stuttgart,Germany,69195,,12/19/25
KH0694,MM021,Weltkulturenmuseum,Frankfurt,Germany,NS 35318,,12/19/25
KH0695,MM022,McGill University Library,"Montreal, Quebec",Canada,002.49b,,12/19/25
KH0696,AK001,Maiman Collection (Deaccessioned),Tel Aviv,Israel,52290,,12/19/25
KH0697,AK002,Maiman Collection (Deaccessioned),Tel Aviv,Israel,9--26/52290,,12/19/25
KH0698,AK003,Maiman Collection (Deaccessioned),Tel Aviv,Israel,MC935,,12/19/25
KH0699,KT001,College of Southern Idaho,"Twin Falls, ID",USA,P.85.6,,12/19/25
KH0700,SB001,Stanford University Archaeology Collections,"Stanford, CA",USA,80.1012 aka 2708,,12/19/25
KH0701,AB001,"Art, Design and Architecture Museum, UC Santa Barbara","Santa Barbara, CA",USA,1966.79,,12/19/25
KH0702,,Museo Amano,Lima,Peru,R4303,,12/19/25
